Scenario,User,st_a_ave,st_ag,st_angle_ave,st_cl,st_d_f_ave,st_d_lf_ave,st_d_rf_ave,st_ls_a,st_ls_l,st_ls_r,st_nc,st_os,st_t_stamp,st_tc,st_v_ave
0.0,0.0,0.577093407198,0,0,2,54.0442353999,39.3598015245,200.0,0,0,0,0,0,180.068,0,14.1705960711
1.0,0.0,0.45082348891,0,0,2,197.934196333,64.0738070395,200.0,0,0,0,0,0,180.002,0,22.8419607733
0.0,1.0,0.767431095597,0,0,0,172.319132427,75.647540318,150.230481542,0,0,0,0,0,180.002,0,18.4118667247
1.0,1.0,0.70870759044,0,0,2,35.6337413514,32.5736815334,200.0,0,0,0,0,0,180.033,0,16.9978307744
0.0,2.0,0.236236598175,0,0,2,67.1640902319,36.8159609594,200.0,0,0,0,0,0,180.053,0,21.0597277585
1.0,2.0,0.774659607186,0,0,0,121.719073164,148.955263507,82.236073806,0,0,0,0,0,180.001,0,22.5841044462
0.0,3.0,1.17061676344,0,0,2,65.0268967299,50.0986275654,181.854094601,0,0,0,0,0,180.035,0,17.2776586654
1.0,3.0,1.16047165667,0,0,0,50.6374349301,162.990242764,61.3968037644,0,0,0,0,0,180.0,0,17.4641101014
0.0,4.0,0.567547582943,0,0,2,31.9056592011,33.6255529467,191.76055325,0,0,0,0,0,180.048,0,15.3207579585
1.0,4.0,0.649749041079,0,0,0,9.07279730104,200.0,91.0943911193,0,0,0,0,0,180.0,0,11.1612894043
0.0,5.0,1.22866155691,0,0,0,89.1762988844,200.0,34.8019642753,0,0,0,0,0,180.017,0,16.1938972184
1.0,5.0,2.41737004019,0,0,2,17.4389016362,66.8316185252,95.7291454124,0,0,0,0,0,180.015,0,12.5718943693
0.0,6.0,0.487207097861,0,0,0,46.1774564285,91.661946185,111.432501489,0,0,0,0,0,180.017,0,18.7440348512
1.0,6.0,1.85188779052,0,0,2,53.360302879,97.3473503573,129.25762317,0,0,0,0,0,180.049,0,20.9123122143
0.0,7.0,2.76745015536,0,0,0,95.4607478765,171.181430956,34.6914263522,0,0,0,0,0,180.034,0,10.8078702968
1.0,7.0,2.09770143014,0,0,2,24.1596629228,35.1285665379,125.343590834,0,0,0,0,0,180.046,0,16.7897799073
0.0,8.0,1.20316572128,0,0,2,73.6935139617,34.3347070602,192.505387929,0,0,0,0,0,180.019,0,19.2118955373
1.0,8.0,1.57403848272,0,0,0,39.0098821268,200.0,26.6890796744,0,0,0,0,0,180.014,0,14.8450260269
0.0,9.0,1.94822706708,1,0,1,16.2242201896,28.4229274214,32.4647288218,0,0,0,0,0,180.017,1,7.70195884146
1.0,9.0,1.73841286317,1,0,0,76.6488303703,121.342477944,77.8861194294,0,0,0,0,1,180.033,0,19.8161986166
